2024-10-22 17:38:30.066 INFO  56815 --- [restartedMain] o.s.b.d.a.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2024-10-22 17:39:42.329 INFO  56815 --- [http-nio-8000-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-22 17:39:42.330 INFO  56815 --- [http-nio-8000-exec-1] o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-10-22 17:39:42.337 INFO  56815 --- [http-nio-8000-exec-1] o.s.web.servlet.DispatcherServlet : Completed initialization in 7 ms
2024-10-22 17:39:42.388 INFO  56815 --- [http-nio-8000-exec-2] c.p.p.u.c.a.s.UserSocialLoginService : signUpDTO : googleSignUpDTO[userId=1, nickname=보내라]
2024-10-22 17:39:42.388 INFO  56815 --- [http-nio-8000-exec-2] c.p.p.u.c.a.s.UserSocialLoginService : 구글 회원 생성 : 1
2024-10-22 17:39:42.429 ERROR 56815 --- [http-nio-8000-exec-2] c.p.p.c.error.GlobalControllerAdvice : Error occurs com.polychat.polychatbe.common.error.ApplicationException
2024-10-22 17:39:58.514 INFO  56815 --- [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-22 17:39:58.515 INFO  56815 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Shutdown initiated...
2024-10-22 17:39:58.524 INFO  56815 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Shutdown completed.
2024-10-22 17:40:00.818 INFO  60759 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : Starting PolychatBeApplication using Java 17.0.12 with PID 60759 (/Users/kuredogyon/Documents/PolyChat-BE/build/classes/java/main started by kuredogyon in /Users/kuredogyon/Documents/PolyChat-BE)
2024-10-22 17:40:00.819 INFO  60759 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : No active profile set, falling back to 1 default profile: "default"
